"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"255","75.154657600","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3996/39951, ttl=53 (request in 254)"
"257","75.728739300","52.139.250.253","172.20.10.6","TLSv1.2","280","28 dBm","","","Application Data"
"260","76.172528400","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3997/40207, ttl=53 (request in 259)"
"262","77.197724900","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3998/40463, ttl=53 (request in 261)"
"265","77.667220000","204.79.197.203","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  64722 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"266","77.716491600","99.84.138.118","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  62027 [ACK] Seq=1 Ack=2 Win=131 Len=0 SLE=1 SRE=2"
"269","77.791490200","40.81.31.55","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  65206 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"270","77.796389100","13.107.21.200","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  64991 [ACK] Seq=1 Ack=2 Win=2048 Len=0 SLE=1 SRE=2"
"272","78.228661800","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=3999/40719, ttl=53 (request in 271)"
"274","78.855479700","168.62.200.169","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  56199 [ACK] Seq=1 Ack=2 Win=2050 Len=0 SLE=1 SRE=2"
"276","79.232655200","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4000/40975, ttl=53 (request in 275)"
"278","80.237824400","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4001/41231, ttl=53 (request in 277)"
"280","80.609700900","202.89.233.96","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  54656 [ACK] Seq=1 Ack=2 Win=2047 Len=0 SLE=1 SRE=2"
"282","81.267369400","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4002/41487, ttl=53 (request in 281)"
"284","82.288092100","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4003/41743, ttl=53 (request in 283)"
"286","83.282504300","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4004/41999, ttl=53 (request in 285)"
"288","84.308229100","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4005/42255, ttl=53 (request in 287)"
"290","85.307715000","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4006/42511, ttl=53 (request in 289)"
"292","86.313714600","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4007/42767, ttl=53 (request in 291)"
"294","87.347516800","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4008/43023, ttl=53 (request in 293)"
"296","88.184676500","23.32.20.175","172.20.10.6","TCP","106","28 dBm","","","443  >  53052 [RST] Seq=1 Win=0 Len=0"
"298","88.353448700","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4009/43279, ttl=53 (request in 297)"
"300","89.367710900","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4010/43535, ttl=53 (request in 299)"
"302","90.387227300","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4011/43791, ttl=53 (request in 301)"
"304","91.382684600","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4012/44047, ttl=53 (request in 303)"
"306","92.392938300","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4013/44303, ttl=53 (request in 305)"
"308","93.427977600","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4014/44559, ttl=53 (request in 307)"
"310","94.428057200","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4015/44815, ttl=53 (request in 309)"
"312","95.448362700","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4016/45071, ttl=53 (request in 311)"
"314","96.468022000","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4017/45327, ttl=53 (request in 313)"
"316","97.474614400","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=4018/45583, ttl=53 (request in 315)"
"318","98.073956100","204.79.197.219","172.20.10.6","TCP","118","28 dBm","","","[TCP Keep-Alive ACK] 443  >  64624 [ACK] Seq=6293 Ack=1357 Win=523520 Len=0 SLE=1356 SRE=1357"
"320","98.482966500","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4019/45839, ttl=53 (request in 319)"
"322","99.507580300","112.80.248.75","172.20.10.6","ICMP","126","28 dBm","","","Echo (ping) reply    id=0x0001, seq=4020/46095, ttl=53 (request in 321)"
"323","100.325990000","168.62.200.169","172.20.10.6","TCP","106","28 dBm","","","443  >  65329 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"324","100.368800400","204.79.197.219","172.20.10.6","TCP","106","27 dBm","","","443  >  59143 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
