"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"349","144.059687300","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2706/37386, ttl=53 (request in 348)"
"351","145.080959600","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2707/37642, ttl=53 (request in 350)"
"353","146.100462300","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2708/37898, ttl=53 (request in 352)"
"355","147.111403900","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2709/38154, ttl=53 (request in 354)"
"357","148.115918500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2710/38410, ttl=53 (request in 356)"
"359","149.140729000","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2711/38666, ttl=53 (request in 358)"
"361","150.165556400","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2712/38922, ttl=53 (request in 360)"
"363","151.175978500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2713/39178, ttl=53 (request in 362)"
"365","152.185518900","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2714/39434, ttl=53 (request in 364)"
"367","153.056791000","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","26 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"369","153.220316200","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2715/39690, ttl=53 (request in 368)"
"371","154.211575400","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2716/39946, ttl=53 (request in 370)"
"373","155.219862000","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2717/40202, ttl=53 (request in 372)"
"375","156.244913200","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2718/40458, ttl=53 (request in 374)"
"377","157.259572300","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2719/40714, ttl=53 (request in 376)"
"379","158.269809200","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2720/40970, ttl=53 (request in 378)"
"381","159.300513200","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2721/41226, ttl=53 (request in 380)"
"383","160.311044800","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2722/41482, ttl=53 (request in 382)"
"385","161.320041500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2723/41738, ttl=53 (request in 384)"
"387","162.339508000","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2724/41994, ttl=53 (request in 386)"
"389","163.330493300","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2725/42250, ttl=53 (request in 388)"
"390","163.815050600","40.100.54.226","172.20.10.6","TLSv1.2","146","27 dBm","","","Application Data"
"393","164.350482600","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2726/42506, ttl=53 (request in 392)"
"395","165.365062800","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2727/42762, ttl=53 (request in 394)"
"397","166.379586600","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2728/43018, ttl=53 (request in 396)"
"399","167.381117200","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2729/43274, ttl=53 (request in 398)"
"401","168.391021500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2730/43530, ttl=53 (request in 400)"
"403","169.411151600","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2731/43786, ttl=53 (request in 402)"
"405","170.435153300","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2732/44042, ttl=53 (request in 404)"
"407","171.445016900","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2733/44298, ttl=53 (request in 406)"
"409","172.450503000","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2734/44554, ttl=53 (request in 408)"
"411","173.461784800","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2735/44810, ttl=53 (request in 410)"
"413","174.471077200","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2736/45066, ttl=53 (request in 412)"
"415","175.491116400","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2737/45322, ttl=53 (request in 414)"
"417","176.541366700","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2738/45578, ttl=53 (request in 416)"
"419","177.561230900","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2739/45834, ttl=53 (request in 418)"
"421","178.498373700","20.198.162.76","172.20.10.6","TCP","106","27 dBm","","","443  >  60152 [ACK] Seq=523 Ack=173 Win=7461 Len=0"
"423","178.563388600","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2740/46090, ttl=53 (request in 422)"
"424","178.646952800","20.198.162.76","172.20.10.6","TLSv1.2","280","26 dBm","","","Application Data"
"427","179.593893000","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2741/46346, ttl=53 (request in 426)"
"429","180.581170400","112.80.248.75","172.20.10.6","ICMP","126","26 dBm","","","Echo (ping) reply    id=0x0001, seq=2742/46602, ttl=53 (request in 428)"
"431","181.586160400","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2743/46858, ttl=53 (request in 430)"
"433","182.606868500","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2744/47114, ttl=53 (request in 432)"
"435","183.563277100","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","27 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"437","183.621262900","112.80.248.75","172.20.10.6","ICMP","126","27 dBm","","","Echo (ping) reply    id=0x0001, seq=2745/47370, ttl=53 (request in 436)"
