"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"128","54.955697200","172.20.10.1","172.20.10.6","DNS","259","20 dBm","","","Standard query response 0x64f4 A v10.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME skypedataprdcoluks01.cloudapp.net A 52.114.88.20"
"129","55.215861000","52.114.88.20","172.20.10.6","TCP","118","21 dBm","","","443  >  60341 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM=1"
"132","55.500008600","52.114.88.20","172.20.10.6","TCP","1506","20 dBm","","","443  >  60341 [ACK] Seq=1 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]"
"133","55.500178500","52.114.88.20","172.20.10.6","TCP","1506","20 dBm","","","443  >  60341 [ACK] Seq=1401 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]"
"134","55.500178500","52.114.88.20","172.20.10.6","TLSv1.2","1372","20 dBm","","","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"137","55.775601500","52.114.88.20","172.20.10.6","TLSv1.2","157","20 dBm","","","Change Cipher Spec, Encrypted Handshake Message"
"141","55.914195700","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3133/15628, ttl=54 (request in 140)"
"142","56.052420800","52.114.88.20","172.20.10.6","TCP","106","21 dBm","","","443  >  60341 [ACK] Seq=4118 Ack=1904 Win=524800 Len=0"
"143","56.052420800","52.114.88.20","172.20.10.6","TLSv1.2","463","21 dBm","","","Application Data"
"146","56.327459900","52.114.88.20","172.20.10.6","TCP","106","21 dBm","","","443  >  60341 [ACK] Seq=4475 Ack=4071 Win=524800 Len=0"
"147","56.327824900","52.114.88.20","172.20.10.6","TLSv1.2","464","21 dBm","","","Application Data"
"149","56.603601600","52.114.88.20","172.20.10.6","TCP","106","21 dBm","","","443  >  60341 [FIN, ACK] Seq=4833 Ack=4709 Win=524288 Len=0"
"152","56.876257300","112.80.248.76","172.20.10.6","ICMP","126","22 dBm","","","Echo (ping) reply    id=0x0001, seq=3134/15884, ttl=54 (request in 151)"
"154","57.895621300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3135/16140, ttl=54 (request in 153)"
"156","58.901940500","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3136/16396, ttl=54 (request in 155)"
"158","59.929339100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3137/16652, ttl=54 (request in 157)"
"160","60.944979500","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3138/16908, ttl=54 (request in 159)"
"162","61.960914000","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3139/17164, ttl=54 (request in 161)"
"164","62.967411100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3140/17420, ttl=54 (request in 163)"
"166","63.987424800","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3141/17676, ttl=54 (request in 165)"
"168","64.990941100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3142/17932, ttl=54 (request in 167)"
"170","66.002435900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3143/18188, ttl=54 (request in 169)"
"172","67.007408900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3144/18444, ttl=54 (request in 171)"
"174","68.024460700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3145/18700, ttl=54 (request in 173)"
"176","69.046521800","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3146/18956, ttl=54 (request in 175)"
"178","70.065890400","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3147/19212, ttl=54 (request in 177)"
"180","71.076256100","112.80.248.76","172.20.10.6","ICMP","126","18 dBm","","","Echo (ping) reply    id=0x0001, seq=3148/19468, ttl=54 (request in 179)"
"182","72.098463200","112.80.248.76","172.20.10.6","ICMP","126","18 dBm","","","Echo (ping) reply    id=0x0001, seq=3149/19724, ttl=54 (request in 181)"
"184","73.051991800","20.198.162.76","172.20.10.6","TLSv1.2","281","21 dBm","","","Application Data"
"186","73.103815500","40.100.54.226","172.20.10.6","TLSv1.2","146","21 dBm","","","Application Data"
"189","73.117223900","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3150/19980, ttl=54 (request in 185)"
"191","74.137401700","112.80.248.76","172.20.10.6","ICMP","126","21 dBm","","","Echo (ping) reply    id=0x0001, seq=3151/20236, ttl=54 (request in 190)"
"193","75.142819300","112.80.248.76","172.20.10.6","ICMP","126","19 dBm","","","Echo (ping) reply    id=0x0001, seq=3152/20492, ttl=54 (request in 192)"
"195","76.148462200","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3153/20748, ttl=54 (request in 194)"
"197","77.152373700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3154/21004, ttl=54 (request in 196)"
"199","78.168094100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3155/21260, ttl=54 (request in 198)"
"201","79.178455200","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3156/21516, ttl=54 (request in 200)"
"203","80.221081300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3157/21772, ttl=54 (request in 202)"
"205","81.218091300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3158/22028, ttl=54 (request in 204)"
"207","82.208900700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3159/22284, ttl=54 (request in 206)"
"209","83.250614600","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3160/22540, ttl=54 (request in 208)"
"211","84.242041500","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3161/22796, ttl=54 (request in 210)"
"213","85.251073100","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3162/23052, ttl=54 (request in 212)"
"215","86.280543700","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3163/23308, ttl=54 (request in 214)"
"217","86.814855900","46:f2:1b:94:13:64","IntelCor_01:f9:af","ARP","94","20 dBm","","","172.20.10.1 is at 46:f2:1b:94:13:64"
"219","87.267450100","112.80.248.76","172.20.10.6","ICMP","126","19 dBm","","","Echo (ping) reply    id=0x0001, seq=3164/23564, ttl=54 (request in 218)"
"221","88.272784200","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3165/23820, ttl=54 (request in 220)"
"223","89.278642300","112.80.248.76","172.20.10.6","ICMP","126","19 dBm","","","Echo (ping) reply    id=0x0001, seq=3166/24076, ttl=54 (request in 222)"
"225","90.298619300","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3167/24332, ttl=54 (request in 224)"
"227","91.342115400","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3168/24588, ttl=54 (request in 226)"
"230","92.326940200","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3169/24844, ttl=54 (request in 229)"
"232","93.335631900","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3170/25100, ttl=54 (request in 231)"
"234","94.339704000","112.80.248.76","172.20.10.6","ICMP","126","19 dBm","","","Echo (ping) reply    id=0x0001, seq=3171/25356, ttl=54 (request in 233)"
"236","95.351281000","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3172/25612, ttl=54 (request in 235)"
"238","96.369650400","112.80.248.76","172.20.10.6","ICMP","126","20 dBm","","","Echo (ping) reply    id=0x0001, seq=3173/25868, ttl=54 (request in 237)"
