"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"290","82.142660900","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2125/19720, ttl=51 (request in 289)"
"292","83.186348500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2126/19976, ttl=51 (request in 291)"
"294","84.180416100","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2127/20232, ttl=51 (request in 293)"
"296","85.188435500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2128/20488, ttl=51 (request in 295)"
"298","86.195151700","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2129/20744, ttl=51 (request in 297)"
"300","87.220494700","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2130/21000, ttl=51 (request in 299)"
"302","88.245389300","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2131/21256, ttl=51 (request in 301)"
"304","89.268849900","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2132/21512, ttl=51 (request in 303)"
"306","90.262453500","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2133/21768, ttl=51 (request in 305)"
"308","91.283999700","110.242.68.66","172.20.10.6","ICMP","126","38 dBm","","","Echo (ping) reply    id=0x0001, seq=2134/22024, ttl=51 (request in 307)"
"310","92.296114100","110.242.68.66","172.20.10.6","ICMP","126","37 dBm","","","Echo (ping) reply    id=0x0001, seq=2135/22280, ttl=51 (request in 309)"
