"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"779","75.110163","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2869, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"780","75.212554","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2870, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"781","75.314959","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2871, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"782","75.417366","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2872, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"783","75.519723","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2873, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"784","75.622176","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2874, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"785","75.724571","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2875, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"786","75.827013","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2876, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"787","75.929381","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2877, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"788","76.031742","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-54 dBm","-93 dBm","39 dB","","6","Beacon frame, SN=2878, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"789","76.134154","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-54 dBm","-93 dBm","39 dB","","6","Beacon frame, SN=2879, FN=0, Flags=........C, BI=100, SSID=Z5241154"
