"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"52","5.222937","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4086, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"53","5.325054","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4087, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"54","5.427426","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=4088, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"55","5.529676","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=4089, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"56","5.632257","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4090, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"57","5.734613","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4091, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"58","5.837052","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4092, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"59","5.939423","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=4093, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"60","6.041819","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=4094, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"61","6.144231","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=4095, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"62","6.246942","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=0, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"63","6.349032","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=1, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"64","6.451443","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=2, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"65","6.553834","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=3, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"66","6.656223","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=4, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"67","6.758637","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=5, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"68","6.861010","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=6, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"69","6.963438","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=7, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"70","7.065840","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=8, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"71","7.168232","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=9, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"72","7.270959","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=10, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"73","7.373024","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=11, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"74","7.475422","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=12, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"75","7.577818","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=13, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"76","7.680266","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=14, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"77","7.782618","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=15, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"78","7.885006","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=16, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"79","7.987491","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=17, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"80","8.089859","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=18, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"81","8.192223","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=19, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"82","8.294995","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=20, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"83","8.397021","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=21, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"84","8.499452","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=22, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"85","8.601822","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=23, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"86","8.704237","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=24, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"87","8.806486","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=25, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"88","8.909047","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=26, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"89","9.011440","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=27, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"90","9.113870","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=28, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"91","9.216243","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=29, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"92","9.319026","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=30, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"93","9.421059","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=31, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"94","9.523434","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=32, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"95","9.625815","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=33, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"96","9.728268","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=34, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"97","9.830654","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=35, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"98","9.933017","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=36, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"99","10.035448","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=37, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"100","10.137831","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=38, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"101","10.240222","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=39, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"102","10.342968","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=40, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"103","10.445047","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=41, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"104","10.547537","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=42, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"105","10.649835","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-52 dBm","-92 dBm","40 dB","","6","Beacon frame, SN=43, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"106","10.752260","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-53 dBm","-92 dBm","39 dB","","6","Beacon frame, SN=44, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"107","10.854633","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=45, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"108","10.957037","e6:95:b2:4a:dd:ef","Broadcast","802.11","426","-54 dBm","-92 dBm","38 dB","","6","Beacon frame, SN=46, FN=0, Flags=........C, BI=100, SSID=Z5241154"
