day,dailly_cases-16,dailly_cases-15,dailly_cases-14,dailly_cases-13,dailly_cases-12,dailly_cases-11,dailly_cases-10,dailly_cases-9,dailly_cases-8,dailly_cases-7,dailly_cases-6,dailly_cases-5,dailly_cases-4,dailly_cases-3,dailly_cases-2,dailly_cases-1
119,4250,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818
120,5025,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463
121,3844,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195
122,3828,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844
123,4896,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783
124,4356,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471
125,3327,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124
126,2795,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906
127,3135,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845
128,2783,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643
129,2835,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807
130,3655,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200
131,3356,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657
132,3169,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379
133,2395,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650
134,2818,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523
135,2463,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258
136,2195,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594
137,2844,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463
138,2783,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207
139,2471,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011
140,2124,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101
141,1906,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949
142,1845,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727
143,1643,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049
144,1807,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079
145,2200,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865
146,1657,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777
147,1379,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906
148,1650,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719
149,1523,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719,670
150,1258,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719,670,960
151,1594,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719,670,960,1004
152,1463,1207,1011,1101,949,727,1049,1079,865,777,906,719,670,960,1004,792
153,1207,1011,1101,949,727,1049,1079,865,777,906,719,670,960,1004,792,749
154,1011,1101,949,727,1049,1079,865,777,906,719,670,960,1004,792,749,872
155,1101,949,727,1049,1079,865,777,906,719,670,960,1004,792,749,872,697
156,949,727,1049,1079,865,777,906,719,670,960,1004,792,749,872,697,688
157,727,1049,1079,865,777,906,719,670,960,1004,792,749,872,697,688,1028
158,1049,1079,865,777,906,719,670,960,1004,792,749,872,697,688,1028,1037
159,1079,865,777,906,719,670,960,1004,792,749,872,697,688,1028,1037,876
160,865,777,906,719,670,960,1004,792,749,872,697,688,1028,1037,876,684
161,777,906,719,670,960,1004,792,749,872,697,688,1028,1037,876,684,742
162,906,719,670,960,1004,792,749,872,697,688,1028,1037,876,684,742,730
163,719,670,960,1004,792,749,872,697,688,1028,1037,876,684,742,730,774
164,670,960,1004,792,749,872,697,688,1028,1037,876,684,742,730,774,1141
165,960,1004,792,749,872,697,688,1028,1037,876,684,742,730,774,1141,1023
166,1004,792,749,872,697,688,1028,1037,876,684,742,730,774,1141,1023,844
